day,user_id,action,reward,penalty,reward_eff,observed_signal,comp_sleep,comp_activity,comp_diet,comp_habit,comp_water,dropped_out,agent
0,0,sleep_early,2.691882290922359,17.0,-14.30811770907764,-12.922234596628162,0,0,0,0,0,0,Q
0,1,walk_30,3.3296988943227,17.0,-13.6703011056773,-11.230973024865744,0,0,0,0,0,0,Q
0,2,eat_veg_400,3.204384934321878,17.0,-13.795615065678122,-12.699268890872029,0,0,0,0,0,0,Q
0,3,no_tobacco_alcohol,3.0595334717723945,17.0,-13.940466528227606,-13.5593886708326,0,0,0,0,0,0,Q
0,4,meditate_10,3.419793665893375,17.0,-13.580206334106625,-13.257834002863648,0,0,0,0,0,0,Q
0,5,drink_water_8,4.25,15.5,-11.25,-10.452830665208584,0,0,0,0,0,0,Q
0,6,drink_water_8,3.25,17.0,-13.75,-17.42239815912162,1,0,0,0,0,0,Q
0,7,meditate_10,3.2989192534421177,17.0,-13.701080746557881,-14.564632773008304,0,0,0,0,0,0,Q
0,8,walk_30,3.1881715947738503,17.0,-13.81182840522615,-9.947962708751408,0,0,0,0,0,0,Q
0,9,eat_veg_400,3.17208041595014,17.0,-13.82791958404986,-13.604571297139792,0,0,0,0,0,0,Q
0,10,no_tobacco_alcohol,3.2462498360050316,17.0,-13.753750163994969,-15.363916837868619,0,0,0,0,0,0,Q
0,11,sleep_early,3.3032926453268345,17.0,-13.696707354673165,-16.497080652071418,0,0,0,0,0,0,Q
0,12,drink_water_8,4.25,15.5,-11.25,-16.13743095070185,0,0,0,0,0,0,Q
0,13,meditate_10,3.2772546565091956,17.0,-13.722745343490804,-13.763780596332817,0,0,0,0,0,0,Q
0,14,walk_30,3.196464180377792,17.0,-13.803535819622208,-14.979089922316737,0,0,0,0,0,0,Q
0,15,eat_veg_400,3.217496049238477,17.0,-13.782503950761523,-14.416734247276398,0,0,0,0,0,0,Q
0,16,no_tobacco_alcohol,3.21953453978131,17.0,-13.78046546021869,-13.668867629872077,0,0,0,0,0,0,Q
0,17,sleep_early,3.290144364319595,17.0,-13.709855635680405,-11.57131416482027,0,0,0,0,0,0,Q
0,18,drink_water_8,3.266608797993335,17.0,-13.733391202006665,-16.49494238921966,0,0,0,0,0,0,Q
0,19,meditate_10,3.294350845828128,17.0,-13.705649154171873,-11.307403297788214,0,0,0,0,0,0,Q
0,20,walk_30,3.279205420510557,17.0,-13.720794579489443,-13.428880900612144,0,0,0,0,0,0,Q
0,21,eat_veg_400,5.211904127379691,14.0,-8.788095872620309,-10.151621009594203,0,0,1,0,0,0,Q
0,22,eat_veg_400,3.313462938884203,17.0,-13.686537061115796,-13.770740923061972,0,0,0,0,0,0,Q
0,23,no_tobacco_alcohol,3.2289621940435866,17.0,-13.771037805956414,-12.760545636438795,0,0,0,0,0,0,Q
0,24,sleep_early,5.2362015961782875,13.0,-7.7637984038217125,-6.899539169229287,1,0,0,0,0,0,Q
1,0,sleep_early,2.7865975735984523,17.0,-14.213402426401547,-11.898905457249635,0,0,0,0,0,0,Q
1,1,drink_water_8,3.267417691185839,17.0,-13.73258230881416,-14.042813536543324,0,0,0,0,0,0,Q
1,2,sleep_early,5.475235815952873,13.0,-7.524764184047127,-7.933091451571261,1,0,0,0,0,0,Q
1,3,sleep_early,8.33680806466396,8.0,0.33680806466396085,0.09192430421514688,1,0,0,1,0,0,Q
1,4,sleep_early,3.3051911830549994,17.0,-13.694808816945,-15.458254988797375,0,0,0,0,0,0,Q
1,5,eat_veg_400,3.161486855487158,17.0,-13.838513144512842,-12.58643056546715,0,0,0,0,0,0,Q
1,6,meditate_10,3.282847066509323,17.0,-13.717152933490677,-16.05690426706309,0,0,0,0,0,0,Q
1,7,walk_30,5.342557747842339,13.5,-8.157442252157661,-8.345666292220088,1,0,0,0,0,0,Q
1,8,sleep_early,5.325282687372358,13.5,-8.174717312627642,-9.429367421714126,0,0,0,0,0,0,Q
