user_id,age,sex,bmi,work_schedule,smoker,baseline_activity,stress_base,adherence,dropout_chance_weekly,realign_chance_weekly
0,43,M,29.377030381129057,9-5,1,0,5.255680806334571,0.6203004104536567,0.12235943063372223,0.11181787608128886
1,39,F,25.168119364046326,9-5,0,27,4.1433443556737855,0.3643646770869101,0.14103873789545437,0.052732311231028416
2,29,F,28.927667545211154,9-5,0,12,6.08630853661039,0.3419370070961288,0.14423844501992222,0.3453766701869591
3,34,F,23.12504968290496,9-5,1,7,6.936556709182962,0.13779735527341336,0.16750491008454368,0.42912764415720905
4,28,M,26.640915812317544,9-5,0,32,6.251180787934674,0.5775060806552137,0.05636426925300316,0.14793938382910146
5,38,F,24.095157595801307,9-5,0,8,2.3546007752911953,0.4764580660907019,0.1824795194808185,0.1636891191992064
6,19,M,27.069810210495252,9-5,0,31,3.941014581872395,0.29664046552626033,0.02916797769958605,0.1897332062232896
7,32,F,21.83040826367514,9-5,0,39,4.555554605802453,0.15889580362574163,0.25,0.05
8,32,F,30.796911038544394,shift,1,4,1.650634110591286,0.3515049232175287,0.11563047051579556,0.05
9,50,F,21.936827698608383,shift,0,27,4.918474947729132,0.45494650639810136,0.014244115614526967,0.10009245857017636
10,35,F,27.92940397307726,shift,0,11,2.26368160150867,0.769867661153281,0.17201960605679534,0.26211625492868745
11,44,F,32.33366837591173,9-5,0,0,4.902563196139764,0.5086941191855525,0.17296662636330998,0.26536303158205077
12,46,F,25.30472444337545,shift,1,23,5.353146716907422,0.23917034808887563,0.25,0.06584831466088666
13,32,M,18.5,9-5,0,22,3.2462784436648233,0.7948377607115684,0.01317332021886339,0.05
14,28,M,29.498019092277847,9-5,0,27,2.2502083832600364,0.40973547336769456,0.1256288997876654,0.2293309799218575
15,38,F,35.419257390187674,9-5,0,18,2.775177056033164,0.6115570029558852,0.2308753891831001,0.22786518986800736
16,36,F,32.62171387846921,9-5,0,32,5.591987979374199,0.36661927083536394,0.015851060483801367,0.05
17,60,M,31.29835350039962,9-5,0,36,6.655976353594118,0.5882241622651132,0.0265406371972914,0.2231360925667042
18,39,M,23.667740709351765,9-5,0,19,2.972565267119202,0.644782215056521,0.04108892749409513,0.1854065484306453
19,18,M,23.340034586640023,9-5,1,42,5.736713225401317,0.5052335956128116,0.10224737379432082,0.13271939474145344
20,27,M,32.66654996446538,9-5,0,33,6.68877038097064,0.35646932154201794,0.1457506581031817,0.396783860637001
21,20,F,20.36758753652237,9-5,0,36,6.048375685625542,0.644831529087306,0.039042167078563624,0.25931629601860384
22,49,F,28.345252650794507,9-5,1,32,1.0138792578916882,0.8242185372804086,0.1498501674380695,0.44812758955457344
23,38,M,32.09113650306229,9-5,0,21,2.0389269748699674,0.20635376958500834,0.02534259242768158,0.11195195401770376
24,33,F,23.055725254906,shift,0,34,5.723843707857688,0.910580870486268,0.06085168333005129,0.11510348521222424
