user_id,age,sex,bmi,work_schedule,smoker,baseline_activity,stress_base,adherence,dropout_chance_weekly,realign_chance_weekly
0,45,F,25.37781064472967,shift,0,16,4.751705639454463,0.1432198704454299,0.10133285845401598,0.20187273905853167
1,42,M,22.544105741256153,9-5,0,31,3.969128675815093,0.23835632329987427,0.032578270239738846,0.12346351043458052
2,73,M,31.371378759270428,9-5,0,0,2.91220718353033,0.4724545740411188,0.13844246891859507,0.4270132021181794
3,27,F,28.619552576208676,shift,0,43,4.585668219790851,0.31587878976738276,0.2368024908291907,0.050587296236975485
4,52,M,28.105076389684182,9-5,0,41,4.698932283480435,0.3071291264685591,0.1667006673136235,0.058306321798964965
5,47,M,30.119309529659333,shift,1,24,5.194155098696081,0.7149116174733924,0.11028370341064249,0.38484775958432216
6,44,F,21.918557485678036,9-5,1,7,0.8168006606254714,0.8301321008597394,0.04527074536922856,0.1420774242082026
7,63,M,29.45283577417882,shift,1,2,3.396344313300612,0.6208934203919723,0.25,0.1942988755991788
8,40,M,25.354419966661897,9-5,0,39,7.3384152939052445,0.36053303489961375,0.12344595398885154,0.218247361511654
9,46,F,20.43372180104863,shift,0,10,5.5009857006917535,0.521654780305931,0.16024557611139076,0.05
10,28,F,23.918629129092114,shift,0,13,5.836237043911173,0.3198606677716047,0.12393019614548605,0.10596595997362611
11,54,M,21.66642968270243,9-5,0,44,4.751735222236681,0.779874158696403,0.013993202234568222,0.06662214925361354
12,41,M,20.124361006815093,9-5,0,18,5.899548076977467,0.9351891009719259,0.06601784010409414,0.2765979449285399
13,64,F,36.41596355003079,9-5,0,1,4.056136268421133,0.43234538537859174,0.05654157483428991,0.4413462113891999
14,45,F,20.11438565148781,shift,0,0,8.562582154052734,0.3808421617758978,0.15505203656700214,0.632333709865126
15,42,F,24.93173617456999,9-5,0,58,2.4101150510402802,0.24275026279918982,0.011611349537668982,0.052495620570209164
16,45,F,31.27596102076509,9-5,0,37,5.4539686024386995,0.27094705908442995,0.1618356590552484,0.17091167256230513
17,53,F,23.34785859375105,9-5,0,42,6.799199750866501,0.6816530449301901,0.25,0.05
18,34,F,28.8478359682222,9-5,0,0,3.8206942866256686,0.37058323927581854,0.10346341489501643,0.28541266978636515
19,43,M,22.85384039858637,9-5,0,29,4.381814981606157,0.5650880543062067,0.049886563943653046,0.13168506646384287
20,42,F,30.773116084311358,shift,1,23,5.372424687789252,0.6703520435915398,0.25,0.05
21,18,M,27.452233521521404,shift,0,17,4.782479703086285,0.6397847175133894,0.12713217718282507,0.2733090365226381
22,40,F,22.8418395086258,shift,0,15,7.873509345099107,0.5421873948664743,0.10418083198703111,0.5579184881395027
23,30,F,18.5,shift,0,35,6.48392603305893,0.542766459519233,0.09770561290579512,0.3811676600552907
24,54,F,27.541056131033816,shift,0,58,8.192285887803267,0.8480523046288558,0.06340852040424934,0.09314110594144058
