day,user_id,action,reward,penalty,reward_eff,observed_signal,comp_sleep,comp_activity,comp_diet,comp_habit,comp_water,dropped_out,agent
0,0,sleep_early,5.378542239171229,13.0,-7.621457760828771,-6.242832988557705,1,0,0,0,0,0,Q
0,1,walk_30,5.304280753153014,13.5,-8.195719246846986,-7.215325750292079,0,0,0,0,0,0,Q
0,2,eat_veg_400,3.1920446795224247,17.0,-13.807955320477575,-13.638003821271768,0,0,0,0,0,0,Q
0,3,sleep_early,2.782605486268026,17.0,-14.217394513731975,-11.256091223674142,0,0,0,0,0,0,Q
0,4,no_tobacco_alcohol,3.1557703218843316,17.0,-13.844229678115669,-17.66705252817766,0,0,0,0,0,0,Q
0,5,meditate_10,3.40883517279385,17.0,-13.59116482720615,-12.103864428729649,0,0,0,0,0,0,Q
0,6,drink_water_8,4.25,15.5,-11.25,-11.69927583552246,0,0,0,0,1,0,Q
0,7,walk_30,3.263764156163821,17.0,-13.736235843836178,-12.69468203032933,0,0,0,0,0,0,Q
0,8,no_tobacco_alcohol,3.2605360780426618,17.0,-13.739463921957338,-15.304977271110683,0,0,0,0,0,0,Q
0,9,drink_water_8,4.25,15.5,-11.25,-9.94744913337771,0,0,0,0,1,0,Q
0,10,meditate_10,3.226474928217948,17.0,-13.773525071782052,-15.331237596980703,0,0,0,0,0,0,Q
0,11,eat_veg_400,3.263996236870231,17.0,-13.73600376312977,-15.017198540490583,0,0,0,0,0,0,Q
0,12,sleep_early,5.8811565906913765,13.0,-7.1188434093086235,-7.080284006759944,1,0,0,0,0,0,Q
0,13,walk_30,3.248079751056054,17.0,-13.751920248943946,-15.306061619013432,0,0,0,0,0,0,Q
0,14,drink_water_8,3.2213146002023527,17.0,-13.778685399797647,-14.210695255305412,0,0,0,0,0,0,Q
0,15,sleep_early,3.345682184036008,17.0,-13.654317815963992,-14.409736592212719,0,0,0,0,0,0,Q
0,16,no_tobacco_alcohol,3.3105838422825964,17.0,-13.689416157717403,-15.148899784585456,0,0,0,0,0,0,Q
0,17,meditate_10,3.3774429558164583,17.0,-13.62255704418354,-13.808850523956863,0,0,0,0,0,0,Q
0,18,eat_veg_400,5.213681598822542,14.0,-8.786318401177457,-8.923977014801116,0,0,1,0,0,0,Q
0,19,eat_veg_400,5.30094552097807,14.0,-8.69905447902193,-7.356066014080904,0,0,1,0,0,0,Q
0,20,eat_veg_400,5.264161456342666,14.0,-8.735838543657334,-8.187856323876632,0,0,1,0,0,0,Q
0,21,eat_veg_400,5.295696832984299,14.0,-8.704303167015702,-9.741541948990786,0,0,1,0,0,0,Q
0,22,walk_30,3.249077261117674,17.0,-13.750922738882327,-15.521594559675894,0,0,0,0,0,0,Q
0,23,drink_water_8,3.2511556227840637,17.0,-13.748844377215937,-14.291011142063196,0,0,0,0,0,0,Q
0,24,sleep_early,2.783078778141652,17.0,-14.216921221858348,-15.841250405404598,0,0,0,0,0,0,Q
1,0,drink_water_8,3.260690268306856,17.0,-13.739309731693144,-14.188486346670606,0,0,0,0,0,0,Q
1,1,eat_veg_400,3.1275710014195788,17.0,-13.872428998580421,-10.472015747889921,0,0,0,0,0,0,Q
1,2,no_tobacco_alcohol,6.143494235664207,12.0,-5.856505764335793,-6.865227349769026,0,0,0,1,0,0,Q
1,3,no_tobacco_alcohol,3.119115600350758,17.0,-13.880884399649242,-15.976578599071043,0,0,0,0,0,0,Q
1,4,meditate_10,3.207868937182196,17.0,-13.792131062817804,-15.896810932104435,0,0,0,0,0,0,Q
1,5,walk_30,3.1612102520996137,17.0,-13.838789747900385,-13.553829411041972,0,0,0,0,0,0,Q
1,6,sleep_early,3.3726370289185743,17.0,-13.627362971081425,-16.395117917196266,0,0,0,0,0,0,Q
1,7,eat_veg_400,3.177449722206879,17.0,-13.822550277793122,-14.053944602172358,0,0,0,0,0,0,Q
1,8,sleep_early,3.024509465797306,17.0,-13.975490534202693,-12.238247404074631,0,0,0,0,0,0,Q
1,9,no_tobacco_alcohol,3.118155091714707,17.0,-13.881844908285293,-12.829453347322236,1,0,0,0,0,0,Q
1,10,meditate_10,3.0855542721531144,17.0,-13.914445727846886,-14.588080973326665,0,0,0,0,0,0,Q
1,11,no_tobacco_alcohol,6.410394158093675,12.0,-5.589605841906325,-7.481239390817748,0,0,0,1,0,0,Q
1,12,walk_30,7.779682023575167,9.5,-1.720317976424833,-1.8503532352161796,1,0,0,0,0,0,Q
1,13,no_tobacco_alcohol,6.439260376483661,12.0,-5.560739623516339,-4.527529926838572,0,0,0,1,0,0,Q
1,14,no_tobacco_alcohol,3.0330966404535804,17.0,-13.96690335954642,-15.098752582640726,0,0,0,0,0,0,Q
1,15,walk_30,3.2957686962320922,17.0,-13.704231303767909,-12.022460468767552,0,0,0,0,0,0,Q
1,16,sleep_early,6.221456270566984,12.0,-5.778543729433016,-5.718855405020511,0,0,0,1,0,0,Q
1,17,meditate_10,3.354748888046582,17.0,-13.645251111953417,-12.629636734985466,0,0,0,0,0,0,Q
1,18,no_tobacco_alcohol,3.1724899590201985,17.0,-13.827510040979801,-15.39713426460573,0,0,0,0,0,0,Q
1,19,drink_water_8,3.3176758009952674,17.0,-13.682324199004732,-14.142522756301128,0,0,0,0,0,0,Q
1,20,drink_water_8,3.287484220430294,17.0,-13.712515779569706,-15.597275538861318,0,0,0,0,0,0,Q
1,21,eat_veg_400,3.3192217260945673,17.0,-13.680778273905432,-15.682343227169492,0,0,0,0,0,0,Q
1,22,sleep_early,2.759420990200967,17.0,-14.240579009799033,-12.265958563396133,0,0,0,0,0,0,Q
1,23,no_tobacco_alcohol,6.350252330487397,12.0,-5.649747669512603,-5.97919419504882,0,0,0,1,0,0,Q
1,24,eat_veg_400,7.612010347837474,10.0,-2.387989652162526,-2.0884565596714726,1,0,0,0,0,0,Q
2,0,no_tobacco_alcohol,3.097462643693105,17.0,-13.902537356306894,-13.442067576881207,0,0,0,0,0,0,Q
2,1,walk_30,5.11683313636228,13.5,-8.383166863637719,-9.760755139494133,0,0,0,0,0,0,Q
2,2,walk_30,6.024035857608863,12.0,-5.975964142391137,-6.537389787236355,0,0,0,1,0,0,Q
2,3,eat_veg_400,6.155035336934223,12.0,-5.844964663065777,-5.848474396450961,0,0,0,1,0,0,Q
2,4,no_tobacco_alcohol,3.265113087801673,17.0,-13.734886912198327,-15.342307350619071,0,0,0,0,0,0,Q
2,5,eat_veg_400,3.2497182444050132,17.0,-13.750281755594987,-16.24628176334764,0,0,0,0,0,0,Q
