user_id,age,sex,bmi,work_schedule,smoker,baseline_activity,stress_base,adherence,dropout_chance_weekly,realign_chance_weekly
0,45,F,25.37781064472967,shift,0,16,4.751705639454463,0.1432198704454299,0.10133285845401598,0.20187273905853167
1,42,M,22.544105741256153,9-5,0,31,3.969128675815093,0.23835632329987427,0.032578270239738846,0.12346351043458052
2,73,M,31.371378759270428,9-5,0,0,2.91220718353033,0.4724545740411188,0.13844246891859507,0.4270132021181794
3,27,F,28.619552576208676,shift,0,43,4.585668219790851,0.31587878976738276,0.2368024908291907,0.050587296236975485
4,52,M,28.105076389684182,9-5,0,41,4.698932283480435,0.3071291264685591,0.1667006673136235,0.058306321798964965
5,47,M,30.119309529659333,shift,1,24,5.194155098696081,0.7149116174733924,0.11028370341064249,0.38484775958432216
6,44,F,21.918557485678036,9-5,1,7,0.8168006606254714,0.8301321008597394,0.04527074536922856,0.1420774242082026
7,63,M,29.45283577417882,shift,1,2,3.396344313300612,0.6208934203919723,0.25,0.1942988755991788
8,40,M,25.354419966661897,9-5,0,39,7.3384152939052445,0.36053303489961375,0.12344595398885154,0.218247361511654
9,46,F,20.43372180104863,shift,0,10,5.5009857006917535,0.521654780305931,0.16024557611139076,0.05
10,28,F,23.918629129092114,shift,0,13,5.836237043911173,0.3198606677716047,0.12393019614548605,0.10596595997362611
11,54,M,21.66642968270243,9-5,0,44,4.751735222236681,0.779874158696403,0.013993202234568222,0.06662214925361354
12,41,M,20.124361006815093,9-5,0,18,5.899548076977467,0.9351891009719259,0.06601784010409414,0.2765979449285399
13,64,F,36.41596355003079,9-5,0,1,4.056136268421133,0.43234538537859174,0.05654157483428991,0.4413462113891999
14,45,F,20.11438565148781,shift,0,0,8.562582154052734,0.3808421617758978,0.15505203656700214,0.632333709865126
15,42,F,24.93173617456999,9-5,0,58,2.4101150510402802,0.24275026279918982,0.011611349537668982,0.052495620570209164
16,45,F,31.27596102076509,9-5,0,37,5.4539686024386995,0.27094705908442995,0.1618356590552484,0.17091167256230513
17,53,F,23.34785859375105,9-5,0,42,6.799199750866501,0.6816530449301901,0.25,0.05
18,34,F,28.8478359682222,9-5,0,0,3.8206942866256686,0.37058323927581854,0.10346341489501643,0.28541266978636515
19,43,M,22.85384039858637,9-5,0,29,4.381814981606157,0.5650880543062067,0.049886563943653046,0.13168506646384287
20,42,F,30.773116084311358,shift,1,23,5.372424687789252,0.6703520435915398,0.25,0.05
21,18,M,27.452233521521404,shift,0,17,4.782479703086285,0.6397847175133894,0.12713217718282507,0.2733090365226381
22,40,F,22.8418395086258,shift,0,15,7.873509345099107,0.5421873948664743,0.10418083198703111,0.5579184881395027
23,30,F,18.5,shift,0,35,6.48392603305893,0.542766459519233,0.09770561290579512,0.3811676600552907
24,54,F,27.541056131033816,shift,0,58,8.192285887803267,0.8480523046288558,0.06340852040424934,0.09314110594144058
25,34,F,31.30683732828722,9-5,0,31,4.502071703041853,0.42446723792053853,0.25,0.3641218145011582
26,18,M,26.990334479616294,9-5,0,1,7.424312866450204,0.7998485224457139,0.1835913484777227,0.05
27,30,M,29.363156142253107,9-5,0,25,4.106633058618666,0.5121460873582842,0.04257624350427273,0.05
28,40,F,34.83913835147705,9-5,1,17,5.356256851522129,0.5137128010999475,0.10195422739333831,0.1408293706761748
29,45,M,25.42437083833655,9-5,1,5,3.487298509431393,0.39837691256453583,0.045540946774137316,0.3903395535481444
30,39,M,35.38014753743704,9-5,0,50,6.422908530389654,0.4441693466645793,0.1486018789429612,0.27274124244099957
31,61,M,25.664715590609724,shift,0,4,6.08672038475987,0.2738385689916113,0.012012460887866313,0.43872540366268276
32,32,M,26.213294020923865,9-5,0,8,5.45932492846628,0.33522943961153207,0.11365982495351316,0.061625762810329825
33,33,F,20.4117176748251,shift,0,28,5.227458920425962,0.2841027841448513,0.10658864474629641,0.09837141456172056
34,31,M,18.5,9-5,0,2,6.993880136556806,0.95,0.0017059181727658397,0.06057381952845505
35,45,F,33.12363857280441,9-5,0,42,3.2878323481822656,0.6105928866396894,0.2114691352226471,0.19795636616466772
36,49,M,21.850256041200687,9-5,0,55,6.034031460235921,0.6303417308365826,0.09563351651962392,0.16116835476672106
37,54,F,29.025912585027918,9-5,0,32,5.2001908851593965,0.34935867662051334,0.25,0.3850058810359024
38,50,F,18.5,shift,0,42,4.923016559960518,0.3945609560750416,0.022711427625402826,0.0635330280877899
39,45,F,26.063953499672888,9-5,0,68,5.118436868028977,0.5073784353245447,0.06165410271821604,0.0854757058138705
40,18,M,30.91178083365108,9-5,0,25,3.568380262262765,0.5571953889627445,0.10785448350841911,0.3170957314324061
41,23,F,23.639658801741017,9-5,1,27,4.5193492036837295,0.3818203165136674,0.13257382579519617,0.14113945910489611
42,61,F,19.256032693218703,shift,0,47,7.3704205830217795,0.432606448203094,0.1253574871816558,0.06732873495264566
43,23,F,35.69857792294883,9-5,1,30,2.4231052404853504,0.48228331818739656,0.024891543631068155,0.2179437568076987
44,51,F,38.42342871076783,shift,0,26,4.162590318387102,0.6994939799970694,0.06018946675255506,0.1619257396969107
45,46,M,22.137389989184538,9-5,0,40,3.848724347524452,0.8596564911235911,0.17407503564211535,0.23696810219073597
46,35,F,30.435752225706036,shift,0,21,5.435015811387122,0.5895111590306186,0.10941583892955066,0.31076982694922994
47,33,M,29.68318130587343,9-5,0,32,5.893279463034172,0.46527450589276037,0.1199625755616107,0.1286961015299952
48,36,F,18.5,9-5,0,49,5.350842150600226,0.6918386787776439,0.25,0.05
49,25,F,23.672201974548326,9-5,0,51,4.1089949571984565,0.8483629965180286,0.20828274771483696,0.14072807161801834
