day,user_id,agent,action,reward,penalty,reward_eff,observed_signal,comp_sleep,comp_activity,comp_diet,comp_habit,comp_water,dropped_out
0,0,Q,sleep_early,5.798143128189641,13.0,-7.201856871810359,-5.428286782739499,0,0,0,0,0,0
0,1,Q,walk_30,3.3094321795078416,17.0,-13.69056782049216,-14.853508441549781,0,0,0,0,0,0
0,2,Q,eat_veg_400,3.2190971388216374,17.0,-13.780902861178362,-5.816785097741019,0,0,0,0,0,0
0,3,Q,no_tobacco_alcohol,2.577473461731848,17.0,-14.422526538268151,-16.85622348224294,0,0,0,0,0,0
0,4,Q,meditate_10,3.406373422840982,17.0,-13.593626577159018,-16.356649352816916,0,0,0,0,0,0
0,5,Q,drink_water_8,4.25,15.5,-11.25,-15.102229201943846,0,0,0,0,0,0
0,6,Q,sleep_early,5.80610345956372,13.0,-7.19389654043628,-7.361885429203045,1,0,0,0,0,0
0,7,Q,meditate_10,3.3492914003119463,17.0,-13.650708599688054,-14.121411456113423,0,0,0,0,0,0
0,8,Q,eat_veg_400,5.270519500090581,14.0,-8.72948049990942,-8.705342701024772,0,0,0,0,0,0
0,9,Q,drink_water_8,3.374801053650814,17.0,-13.625198946349187,-16.249700199479157,0,0,0,0,0,0
0,10,Q,sleep_early,5.307137200802242,13.0,-7.692862799197758,-8.42890025307521,1,0,0,0,0,0
0,11,Q,sleep_early,3.216117936247831,17.0,-13.78388206375217,-14.706403037087055,1,0,0,0,0,0
0,12,Q,walk_30,3.347977136832519,17.0,-13.652022863167481,-14.824940007253016,0,0,0,0,0,0
0,13,Q,no_tobacco_alcohol,6.235434096503312,12.0,-5.764565903496688,-6.620626626303423,0,0,0,1,0,0
0,14,Q,no_tobacco_alcohol,3.222547441828115,17.0,-13.777452558171884,-12.565012880431416,1,0,0,0,0,0
0,15,Q,no_tobacco_alcohol,3.2450902384871463,17.0,-13.754909761512854,-13.958942499911574,1,0,0,0,0,0
0,16,Q,eat_veg_400,3.229953468345494,17.0,-13.770046531654506,-15.552383531705624,0,0,0,0,0,0
0,17,Q,drink_water_8,3.172614834755035,17.0,-13.827385165244966,-12.431134490734498,0,0,0,0,0,0
0,18,Q,meditate_10,3.3655042505243915,17.0,-13.634495749475608,-14.584111813992472,0,0,0,0,0,0
0,19,Q,sleep_early,5.74842101204873,13.0,-7.25157898795127,-5.959189091287507,0,0,0,0,0,0
0,20,Q,walk_30,5.298032605607318,13.5,-8.201967394392682,-7.113462498894196,0,0,0,0,0,0
0,21,Q,no_tobacco_alcohol,6.348117147667577,12.0,-5.651882852332423,-4.947079552310333,0,0,0,1,0,0
0,22,Q,no_tobacco_alcohol,5.481809714589717,12.0,-6.518190285410283,-9.083542933599933,0,0,0,1,0,0
0,23,Q,no_tobacco_alcohol,3.2884888957133773,17.0,-13.711511104286622,-12.823164489163352,0,0,0,0,0,0
0,24,Q,sleep_early,2.828462664618695,17.0,-14.171537335381306,-19.326889538157012,1,0,0,0,0,0
1,0,Q,sleep_early,3.2386186396054026,17.0,-13.761381360394598,-16.009468381944515,0,0,0,0,0,0
1,1,Q,sleep_early,5.308904475939739,13.5,-8.19109552406026,-8.077837848741236,0,1,0,0,0,0
1,2,Q,walk_30,5.219453508116526,13.5,-8.280546491883474,-7.658678624465051,0,0,0,0,0,0
1,3,Q,eat_veg_400,3.135780177466021,17.0,-13.864219822533979,-11.686183386239193,0,0,0,0,0,0
1,4,Q,drink_water_8,3.370693671652779,17.0,-13.629306328347221,-12.510480393419444,0,0,0,0,0,0
1,5,Q,sleep_early,3.1542287845816563,17.0,-13.845771215418344,-13.977703224420491,0,0,0,0,0,0
1,6,Q,walk_30,5.743835961405669,13.0,-7.256164038594331,-7.183331317820178,1,0,0,0,0,0
1,7,Q,meditate_10,3.30115620806637,17.0,-13.69884379193363,-13.187167983400858,0,0,0,0,0,0
1,8,Q,sleep_early,4.8828741989842515,14.0,-9.11712580101575,-6.08279102404269,0,0,1,0,0,0
1,9,Q,eat_veg_400,5.707853676281177,13.0,-7.292146323718823,-7.562047613743748,0,0,0,0,0,0
1,10,Q,no_tobacco_alcohol,8.904963569501987,8.0,0.9049635695019873,1.2667150708387505,1,0,0,1,0,0
1,11,Q,no_tobacco_alcohol,6.070047813729536,12.0,-5.929952186270464,-5.749982172966534,0,0,0,1,0,0
1,12,Q,eat_veg_400,3.1354781348648846,17.0,-13.864521865135115,-10.188006170023142,0,0,0,0,0,0
1,13,Q,no_tobacco_alcohol,6.586338248281803,12.0,-5.413661751718197,-5.351016385216202,0,0,0,1,0,0
1,14,Q,no_tobacco_alcohol,6.35094005617753,12.0,-5.64905994382247,-5.0080337752015,0,0,0,1,0,0
1,15,Q,no_tobacco_alcohol,3.2851229192898197,17.0,-13.714877080710181,-10.877620274993763,0,0,0,0,0,0
1,16,Q,walk_30,5.315967413768337,14.0,-8.684032586231663,-8.625125264442634,0,0,0,0,0,0
1,17,Q,no_tobacco_alcohol,8.746403153698324,8.0,0.7464031536983242,0.6385521535461136,0,0,0,1,0,0
1,18,Q,walk_30,3.2973120284900936,17.0,-13.702687971509906,-14.578841725140347,0,0,0,0,0,0
1,19,Q,no_tobacco_alcohol,7.921056828120987,8.0,-0.07894317187901301,-0.14617686432403543,1,0,0,1,0,0
1,20,Q,no_tobacco_alcohol,5.8017535639300855,13.0,-7.1982464360699145,-5.157549080995755,0,0,0,0,0,0
1,21,Q,sleep_early,8.914068638292937,8.0,0.914068638292937,0.9230338138989295,1,0,0,1,0,0
1,22,Q,no_tobacco_alcohol,5.528418660849138,12.0,-6.471581339150862,-6.568625723382175,0,0,0,1,0,0
1,23,Q,no_tobacco_alcohol,6.20761748148817,12.0,-5.79238251851183,-5.045525860350824,0,0,0,1,0,0
1,24,Q,drink_water_8,5.644442192374706,13.0,-7.355557807625294,-8.765106096276952,1,0,0,0,0,0
2,0,Q,walk_30,5.702541834148619,13.0,-7.297458165851381,-7.114260090395996,0,0,0,0,0,0
2,1,Q,meditate_10,5.672730313094139,13.0,-7.327269686905861,-7.330259427380682,1,0,0,0,0,0
2,2,Q,walk_30,5.302419198721249,13.5,-8.19758080127875,-8.358237771414954,0,0,0,0,0,0
2,3,Q,no_tobacco_alcohol,2.2126481101636495,17.0,-14.787351889836351,-17.584849408982187,0,0,0,0,0,0
2,4,Q,no_tobacco_alcohol,7.435041377310746,10.5,-3.064958622689254,-2.8710478513711957,0,0,0,1,0,0
2,5,Q,meditate_10,5.849222826398842,13.0,-7.150777173601158,-5.938484711759933,1,0,0,0,0,0
2,6,Q,drink_water_8,5.681066942874916,13.0,-7.318933057125084,-6.1956221429372125,1,0,0,0,0,0
2,7,Q,no_tobacco_alcohol,3.276815726251901,17.0,-13.7231842737481,-13.56736793220607,0,0,0,0,0,0
2,8,Q,eat_veg_400,5.2781061464632,14.0,-8.7218938535368,-9.284869221610696,0,0,0,0,0,0
2,9,Q,meditate_10,5.786684161910445,13.0,-7.213315838089555,-7.3929256394737095,0,0,0,0,0,0
2,10,Q,drink_water_8,6.89165698608129,11.5,-4.60834301391871,-4.549318013171161,1,0,0,0,0,0
2,11,Q,sleep_early,6.151173937409921,12.0,-5.848826062590079,-5.938429836523615,0,0,0,1,0,0
2,12,Q,walk_30,3.095970312487861,17.0,-13.90402968751214,-10.370811191142536,0,0,0,0,0,0
2,13,Q,walk_30,6.674094007103065,12.0,-5.325905992896935,-5.167412209583813,0,0,0,1,0,0
2,14,Q,sleep_early,9.039476013226064,8.0,1.0394760132260643,1.0536794560252565,1,0,0,1,0,0
2,15,Q,meditate_10,3.3271517345051507,17.0,-13.67284826549485,-11.396365642358864,0,0,0,0,0,0
2,16,Q,drink_water_8,3.044929754553138,17.0,-13.955070245446862,-12.195984469057677,0,0,0,0,0,0
2,17,Q,sleep_early,3.0703567816737882,17.0,-13.929643218326213,-17.54493459476829,0,0,0,0,0,0
2,18,Q,no_tobacco_alcohol,3.3753055228983566,17.0,-13.624694477101643,-13.803169863433428,0,0,0,0,0,0
2,19,Q,no_tobacco_alcohol,4.863025518271103,13.0,-8.136974481728897,-8.265205949289147,1,0,0,0,0,0
2,20,Q,eat_veg_400,5.565581674213301,13.0,-7.434418325786699,-7.254543084399816,1,0,0,0,0,0
2,21,Q,drink_water_8,5.721177155349905,13.0,-7.278822844650095,-7.09160862674507,0,0,0,0,0,0
2,22,Q,eat_veg_400,6.248771792589416,12.0,-5.751228207410584,-6.302179455022121,0,0,0,0,0,0
2,23,Q,eat_veg_400,3.273805443101433,17.0,-13.726194556898566,-10.016387242154202,0,0,0,0,0,0
2,24,Q,walk_30,5.676995142006883,13.0,-7.323004857993117,-7.021218724775134,1,0,0,0,0,0
3,0,Q,sleep_early,7.55303482501773,9.5,-1.94696517498227,-2.1605225256075395,1,0,0,0,0,0
3,1,Q,sleep_early,5.576608163376348,13.0,-7.423391836623652,-7.5770149577684425,1,0,0,0,0,0
3,2,Q,eat_veg_400,5.274157203887637,13.5,-8.225842796112364,-8.822197393654934,0,1,0,0,0,0
3,3,Q,drink_water_8,3.1787459968364624,17.0,-13.821254003163538,-12.742407518925646,0,0,0,0,0,0
3,4,Q,meditate_10,3.5694241165683707,17.0,-13.43057588343163,-15.987672459501477,0,0,0,0,0,0
3,5,Q,eat_veg_400,5.689044129199938,13.0,-7.310955870800062,-6.499938514659382,1,0,0,0,0,0
3,6,Q,no_tobacco_alcohol,5.656912576714149,13.0,-7.343087423285851,-8.474274207742518,0,0,0,0,0,0
3,7,Q,sleep_early,3.225043124255972,17.0,-13.774956875744028,-12.543617584788743,0,0,0,0,0,0
3,8,Q,no_tobacco_alcohol,2.4748929297442657,17.0,-14.525107070255734,-10.801144531922148,0,0,0,0,0,0
3,9,Q,walk_30,2.9167510903100076,17.0,-14.083248909689992,-12.820958072933903,0,0,0,0,0,0
3,10,Q,meditate_10,5.918081357039691,13.0,-7.081918642960309,-6.4555520831846955,1,0,0,0,0,0
3,11,Q,no_tobacco_alcohol,6.044746785870842,12.0,-5.955253214129158,-5.3520183326335315,0,0,0,1,0,0
